FECHA (YYMMDD);HORA (HHMM);;
090124;0100;;
090124;0200;;
090124;0300;;
090124;0400;;
090124;0500;;
090124;0600;;
090124;0700;;
090124;0800;;
090124;0900;;
090124;1000;;
090124;1100;;
090124;1200;-39,5;
090124;1300;-39,5;
090124;1400;-39,5;
090124;1500;-39,5;
090124;1600;-39,5;
090124;1700;;
090124;1800;;
090124;1900;;
090124;2000;;
090124;2100;;
090124;2200;;
090124;2300;;
090125;0000;;
090125;0100;;
090125;0200;;
090125;0300;;
090125;0400;;
090125;0500;;
090125;0600;;
090125;0700;-39,475;
090125;0800;-39,5;
090125;0900;-39,5;
090125;1000;-39,5;
090125;1100;-39,5;
090125;1200;;
090125;1300;;
090125;1400;;
090125;1500;;
090125;1600;;
090125;1700;;
090125;1800;;
090125;1900;;
090125;2000;;
090125;2100;;
090125;2200;;
090125;2300;;
090126;0000;;
090126;0100;;
090126;0200;;
090126;0300;;
090126;0400;;
090126;0500;;
090126;0600;;
090126;0700;-39,4888;
090126;0800;-39,5;
090126;0900;-39,5;
090126;1000;-39,5;
090126;1100;-39,5;
090126;1200;;
090126;1300;;
090126;1400;;
090126;1500;;
090126;1600;;
090126;1700;;
090126;1800;;
090126;1900;;
090126;2000;-39,4916;
090126;2100;-39,5;
090126;2200;-39,5;
090126;2300;-39,5;
090127;0000;-39,5;
090127;0100;;
090127;0200;;
090127;0300;;
090127;0400;;
090127;0500;;
090127;0600;;
090127;0700;;
090127;0800;;
090127;0900;;
090127;1000;;
090127;1100;;
090127;1200;-39,4666;
090127;1300;-39,5;
090127;1400;-39,5;
090127;1500;-39,5;
090127;1600;-39,5;
090127;1700;;
090127;1800;;
090127;1900;;
090127;2000;;
090127;2100;-39,5;
090127;2200;-39,5;
090127;2300;-39,5;
090128;0000;-39,5;
090128;0100;-39,5;
090128;0200;;
090128;0300;;
090128;0400;;
090128;0500;;
090128;0600;;
090128;0700;-39,4083;
090128;0800;-39,5;
090128;0900;-39,5;
090128;1000;-39,4833;
090128;1100;-39,4583;
090128;1200;-39,4666;
090128;1300;-39,45;
090128;1400;-39,5;
090128;1500;-39,4666;
090128;1600;-39,4583;
090128;1700;-39,5;
090128;1800;-39,5;
090128;1900;-39,5;
090128;2000;-39,5;
090128;2100;;
090128;2200;;
090128;2300;;
090129;0000;;
090129;0100;;
090129;0200;;
090129;0300;;
090129;0400;;
090129;0500;;
090129;0600;;
090129;0700;;
090129;0800;-39,4416;
090129;0900;-39,4333;
090129;1000;-39,4166;
090129;1100;-39,4249;
090129;1200;-39,4083;
090129;1300;-39,475;
090129;1400;-39,5;
090129;1500;-39,5;
090129;1600;-39,5;
090129;1700;-39,5;
090129;1800;;
090129;1900;-39,4;
090129;2000;-39,4416;
090129;2100;-39,5;
090129;2200;-39,5;
090129;2300;-39,5;
090130;0000;-39,5;
090130;0100;;
090130;0200;;
090130;0300;;
090130;0400;;
090130;0500;;
090130;0600;;
090130;0700;;
090130;0800;;
090130;0900;;
090130;1000;-39,4666;
090130;1100;-39,4249;
090130;1200;-39,5;
090130;1300;-39,5;
090130;1400;-39,5;
090130;1500;-39,5;
090130;1600;-39,5;
090130;1700;;
090130;1800;;
090130;1900;;
090130;2000;;
090130;2100;;
090130;2200;;
090130;2300;;
090131;0000;-39,4;
090131;0100;-39,4833;
090131;0200;-39,5;
090131;0300;-39,5;
090131;0400;-39,5;
090131;0500;-39,5;
090131;0600;;
090131;0700;;
090131;0800;;
090131;0900;;
090131;1000;;
090131;1100;;
090131;1200;;
090131;1300;;
090131;1400;;
090131;1500;;
090131;1600;;
090131;1700;;
090131;1800;;
090131;1900;;
090131;2000;;
090131;2100;;
090131;2200;;
090131;2300;;
090201;0000;;
090201;0100;;
090201;0200;;
090201;0300;;
090201;0400;;
090201;0500;;
090201;0600;;
090201;0700;;
090201;0800;;
090201;0900;;
090201;1000;;
090201;1100;;
090201;1200;-39,5;
090201;1300;-39,5;
090201;1400;-39,5;
090201;1500;-39,5;
090201;1600;-39,5;
090201;1700;-39,5667;
090201;1800;-39,5083;
090201;1900;-39,5;
090201;2000;-39,5;
090201;2100;-39,5;
090201;2200;-39,5;
090201;2300;;
090202;0000;;
090202;0100;;
090202;0200;;
090202;0300;;
090202;0400;;
090202;0500;;
090202;0600;;
090202;0700;;
090202;0800;;
090202;0900;;
090202;1000;;
090202;1100;;
090202;1200;;
090202;1300;;
090202;1400;;
090202;1500;;
090202;1600;;
090202;1700;;
090202;1800;;
090202;1900;;
090202;2000;;
090202;2100;;
090202;2200;;
090202;2300;-39,475;
090203;0000;-39,5;
090203;0100;-39,5;
090203;0200;-39,5;
090203;0300;-39,5;
090203;0400;;
090203;0500;;
090203;0600;;
090203;0700;-39,4249;
090203;0800;-39,4833;
090203;0900;-39,5;
090203;1000;-39,5;
090203;1100;-39,4166;
090203;1200;-39,4249;
090203;1300;-39,5;
090203;1400;-39,5;
090203;1500;-39,5;
090203;1600;-39,5;
090203;1700;-39,5;
090203;1800;;
090203;1900;-39,4833;
090203;2000;-39,5;
090203;2100;-39,5;
090203;2200;-39,5;
090203;2300;-39,5;
090204;0000;;
090204;0100;;
090204;0200;;
090204;0300;;
090204;0400;;
090204;0500;;
090204;0600;;
090204;0700;;
090204;0800;;
090204;0900;;
090204;1000;;
090204;1100;;
090204;1200;;
090204;1300;;
090204;1400;;
090204;1500;;
090204;1600;;
090204;1700;;
090204;1800;;
090204;1900;;
090204;2000;;
090204;2100;;
090204;2200;;
090204;2300;;
090205;0000;;
090205;0100;;
090205;0200;;
090205;0300;;
090205;0400;;
090205;0500;;
090205;0600;;
090205;0700;;
090205;0800;;
090205;0900;;
090205;1000;;
090205;1100;;
090205;1200;;
090205;1300;;
090205;1400;;
090205;1500;;
090205;1600;;
090205;1700;;
090205;1800;;
090205;1900;;
090205;2000;;
090205;2100;;
090205;2200;;
090205;2300;;
090206;0000;;
090206;0100;;
090206;0200;;
090206;0300;;
090206;0400;;
090206;0500;;
090206;0600;;
090206;0700;;
